Verb	Named Entity	Proper Noun
move	ten (CARDINAL)	Gwen
live	Lorraine Lounis (PERSON)	Lorraine
think	'83 (DATE)	Lounis
prove	Lorraine (PERSON)	Lorraine
make	20 years ago (DATE)	Detective
take	Rob (PERSON)	Rush
do	Lily Rush (PERSON)	Rob
see	Dana Deamer (PERSON)	Gwen
have	Albert Miller (PERSON)	Gwen
take	Dana (PERSON)	Lily
be	A week (DATE)	Rush
want	16 minutes (TIME)	Dana
stop	Miller (PERSON)	Deamer
get	first (ORDINAL)	Albert
go	three days (DATE)	Miller
go	25 (DATE)	Dana
think	Albert Miller (PERSON)	Miller
know	Gwen (PERSON)	Lorraine
give	only five (CARDINAL)	Albert
send	Missy (PERSON)	Miller
work	Missy (PERSON)	Gwen
help	Miller (PERSON)	Missy
need	Timmy Sanders (PERSON)	Missy
meet	Fu Manchu (PERSON)	Miller
have	chinese (NORP)	Gag
have	three (CARDINAL)	Timmy
do	Sanders (PERSON)	Sanders
haunt	Guy (PERSON)	Fu
talk	83 (CARDINAL)	Manchu
obsess	'83 (DATE)	Sanders
make	Lilly (ORG)	Guy
do	Dana Deamer (PERSON)	Lilly
know	Albert Miller (PERSON)	Dana
go	Dana (PERSON)	Deamer
do	Mmmm (GPE)	Albert
go	the past 20 years (DATE)	Miller
help	yesterday (DATE)	Dana
wanna	Miller (PERSON)	Mmmm
tell	Graterford (PERSON)	Miller
k*lle	Sweet (PERSON)	Graterford
testify	Dana (PERSON)	Mm
expose	Rob (PERSON)	Dana
go	Gwen (PERSON)	Rob
leave	Albert Miller (PERSON)	Gwen
die	Dana (PERSON)	Gwen
arrest	Dana (PERSON)	Albert
get	'83 (DATE)	Miller
know	Dana (PERSON)	Dana
parole	a thousand (CARDINAL)	Gwen
track	Maria (PERSON)	headstrong
turn	Dana (PERSON)	Dana
die	Mom (PERSON)	Dana
realize	Frank Lawson (PERSON)	Mom
look	Cedarbrook (GPE)	Maria
have	Albert Miller (PERSON)	Dana
tell	'83 (DATE)	Mom
call	'83 (DATE)	Frank
make	'78 to '82 (DATE)	Lawson
wanna	Miller (PERSON)	Cedarbrook
do	the Iron Range (PRODUCT)	Gwen
k*lle	Minnesota (GPE)	Albert
go	expl*sives (ORG)	Miller
do	the '80s (DATE)	Nexis
remember	Albert Miller (PERSON)	Miller
happen	Franklin (ORG)	Iron
have	a hundred (CARDINAL)	Range
stay	Dana Deamer (PERSON)	Minnesota
braid	CSB (ORG)	Albert
braid	CSB (PERSON)	Miller
go	Albert (PERSON)	Franklin
see	English (LANGUAGE)	parkway
wish	expl*sives (ORG)	Dana
do	Minnesota (GPE)	Deamer
